week,country,channel,installs,roas_w0,roas_w1,roas_w2,roas_w3,roas_w4,roas_w5,roas_w6,lifetime_value_w0,lifetime_value_w4,lifetime_value_w1,lifetime_value_w2,lifetime_value_w3,lifetime_value_w5,lifetime_value_w6,lifetime_value_ad_w0,lifetime_value_ad_w1,lifetime_value_ad_w2,lifetime_value_ad_w3,lifetime_value_ad_w4,lifetime_value_ad_w5,lifetime_value_ad_w6,lifetime_value_iap_w0,lifetime_value_iap_w1,lifetime_value_iap_w2,lifetime_value_iap_w3,lifetime_value_iap_w4,lifetime_value_iap_w5,lifetime_value_iap_w6,ecpi,trial started_w0_events_cost_cohort,cost_per_paying_user_d0
2024-04-01,Albania,Organic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Algeria,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Algeria,Organic,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Andorra,Organic,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Angola,Organic,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0132,0.0128,0.0128,0.013,0.0132,0.0132,0.0075,0.0128,0.0128,0.013,0.0132,0.0132,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Antigua And Barbuda,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Argentina,Organic,1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.0283,0.0274,0.0279,0.0281,0.0284,0.0285,0.0172,0.0182,0.0188,0.019,0.0192,0.0193,0.0194,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0,0.0,0.0
2024-04-01,Armenia,Organic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Aruba,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Australia,Google Ads,260,1.453,1.7944,1.9034,2.105,2.4736,2.6623,2.7611,0.7895,1.3441,0.975,1.0342,1.1438,1.4466,1.5003,0.2461,0.2864,0.2969,0.3084,0.3107,0.3139,0.3174,0.5435,0.6886,0.7374,0.8354,1.0334,1.1328,1.1829,0.5434,4.1552,0.0
2024-04-01,Australia,Organic,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.14,0.132,0.14,0.14,0.1837,0.1901,0.132,0.132,0.14,0.14,0.14,0.1837,0.1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Austria,Google Ads,39,0.2396,0.2723,0.2723,0.276,0.276,0.276,0.276,0.0837,0.0964,0.0951,0.0951,0.0964,0.0964,0.0964,0.0837,0.0951,0.0951,0.0964,0.0964,0.0964,0.0964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3492,0.0,0.0
2024-04-01,Austria,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
